headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"A Better Year for Trump’s Family Business (Last Year, That Is)",2020-08-01,article,News,,"['Coronavirus (2019-nCoV)', 'Hotels and Travel Lodgings', 'United States Politics and Government', 'Shutdowns (Institutional)', 'Real Estate (Commercial)', 'Company Reports']","In 2019, the Trump Organization showed improvement over the previous year. But the company’s minimum reported revenues still fell short of the president’s first year in office, his new financial disclosure shows.","Before the coronavirus ripped through the country, upending President Trump’s family business and the broader hospitality industry, the company last year showed modest gains, according to Mr. Trump’s annual financial disclosure report released late Friday."
Court Frees Michigan Teen Who Was Held for Skipping Online Schoolwork,2020-08-01,article,News,,"['Juvenile Delinquency', 'Decisions and Verdicts', 'Children and Childhood']","The release came more than a week after a judge ruled that the girl, who violated the terms of her probation by skipping coursework, should remain at the juvenile facility.",The Michigan Court of Appeals on Friday freed a 15-year-old suburban Detroit girl whose detention at a juvenile facility drew widespread criticism after a county judge ordered that she be held for failing to complete her online schoolwork.
Federal Agents Don’t Need Army Fatigues,2020-08-01,article,Editorial,,"['Demonstrations, Protests and Riots', 'Camouflage', 'Uniforms', 'Federal-State Relations (US)']","If you’re an officer of the law, dress like one. Leave the soldiering to soldiers.","Masked men, clad indistinguishably from soldiers, yanking civilians off the street in the dead of night and throwing them into unmarked cars is the modus operandi of totalitarian regimes — or the stuff of dystopian fiction."
Canada’s Key Role in Creating a Once Awaited Vaccine,2020-08-01,article,News,,['Vaccination and Immunization'],"An American researcher created the polio vaccine, but a Toronto lab and a pioneering female scientist made its mass production possible.","Canadians don’t have to go back to 1918 and the start of the Spanish flu pandemic to find an analogy to today. For decades, waves of polio outbreaks gripped the country with fear, death and uncertainty, as recently as the 1950s."
Quotation of the Day: China Wields Its Security Law to Crush Hong Kong Dissent,2020-08-01,article,Quote,,[],"Quotation of the Day for Saturday, August 1, 2020.","“They are running short of confidence to face the people, to face the people’s choice, to face the people’s demands. It’s fear.”"
"Corrections: Aug. 1, 2020",2020-08-01,article,Correction,,[],"Corrections that appeared in print on Saturday, Aug. 1, 2020.","An article on Page 10 about the Netflix documentary series “Last Chance U” refers imprecisely to coach John Beam. He identifies as multiracial, not white."
What’s on TV Saturday: ‘Seeing America With Megan Rapinoe’ and ‘The Last Narc’,2020-08-01,article,News,,"['Television', 'Movies']","The soccer star and activist leads a discussion on HBO, and an Amazon docuseries looks back on the murder of a D.E.A. agent.","SEEING AMERICA WITH MEGAN RAPINOE 10 p.m. on HBO. Megan Rapinoe may be one of the biggest stars in sports following the United States women’s national soccer team’s 2019 World Cup victory. But she’s also an outspoken activist for equal pay, racial justice and L.G.B.T.Q. issues. On this special, Rapinoe engages in a discussion with Representative Alexandria Ocasio-Cortez, the comedian Hasan Minhaj and the New York Times journalist Nikole Hannah-Jones for a wide-ranging conversation about the upcoming election and societal issues the country is currently facing."
"A School Reopens, and the Coronavirus Creeps In",2020-08-01,article,News,,"['Education (K-12)', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'Teachers and School Employees']","As more schools abandon plans for in-person classes, one that opened in Indiana this week had to quarantine students within hours.",One of the first school districts in the country to reopen its doors during the coronavirus pandemic did not even make it a day before being forced to grapple with the issue facing every system actively trying to get students into classrooms: What happens when someone comes to school infected?
"Edmonton, ‘City of Champions,’ Readies for a Hockey Marathon",2020-08-01,article,News,,"['Hockey, Ice', 'Coronavirus Reopenings', 'Playoff Games', 'Coronavirus (2019-nCoV)']","The N.H.L. chose the small-market, hockey-mad city as one of two “hub cities” — along with Toronto — to host its playoffs.","EDMONTON, Alberta — It is said that hockey is the heartbeat of Alberta’s capital city. If that’s so then the 2020 N.H.L. playoffs are like a defibrillator that has shocked the city’s rhythm back to life."
"Yasmin Monet Prince, a New Action Heroine",2020-08-01,article,News,,['ACTORS AND ACTRESSES'],"The young British actress stars in “Hanna,” the action drama on Amazon.",Name: Yasmin Monet Prince
"Trump’s Approval Rating, Biden V.P. Search: The Latest in the 2020 Race",2020-08-01,article,News,,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)']","President Trump’s more sober messaging on the coronavirus crisis didn’t last long. For Joe Biden, the search for a running mate may last a little longer.",Welcome to our weekly analysis of the state of the 2020 campaign.
Make Pizza … On Your Grill,2020-08-01,article,News,,"['Quarantine (Life and Culture)', 'Pizza', 'Cooking and Cookbooks', 'Content Type: Service']","Bear with us. We know this sounds bonkers, but it really does work.",Homemade pizza is great. A 500-degree oven in August is not.
How Woody Vines Do the Twist,2020-08-01,article,News,,"['Trees and Shrubs', 'Forests and Forestry', 'your-feed-science']","Slowly, scientists are learning how lianas quickly climb.","Wood is typically thought of as stiff and rigid, but some wood, in the race upward to access the best sunlight, twists. Lianas, or woody vines, are concentrated in tropical forests; they possess a narrow stem that lets them climb to the top of the canopy, more than 100 feet above the ground, as quickly as possible by twisting their way around tree trunks. Basking in the sun at the top, these vines flower, fruit and lay out new leaves as they photosynthesize."
The Little Fraught Schoolhouse,2020-08-01,article,News,,"['Education (K-12)', 'Private and Sectarian Schools', 'Children and Childhood', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'High Net Worth Individuals', 'Second Homes and Non-Primary Residences']",New York parents of means are seeking less congested classrooms near their second homes in the Hamptons and Hudson Valley. Not everyone is happy about this.,"Carlie Lawrence, 42, a fashion executive and mother of two from Manhattan, was facing the same fear that seemingly every parent of school-age children has these days: what if schools don’t open in the fall?"
Why a Data Breach at a Genealogy Site Has Privacy Experts Worried,2020-08-01,article,News,,"['Genealogy', 'Forensic Science', 'Genetics and Heredity', 'Computer Security', 'DNA (Deoxyribonucleic Acid)', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Murders, Attempted Murders and Homicides']","Nearly two-thirds of GEDmatch’s users opt out of helping law enforcement. For a brief window this month, that didn’t matter.","The peculiar matches began early on a Sunday morning. Across the world, genealogists found that they had numerous new relatives on GEDmatch, a website known for its role in helping crack the Golden State Killer case."
"Can Humans Give Coronavirus to Bats, and Other Wildlife?",2020-08-01,article,News,,"['Coronavirus (2019-nCoV)', 'Bats', 'your-feed-science']",Federal agencies suggest caution in U.S. bat research to avoid transmitting the novel coronavirus to wildlife.,"Many people worry about bats as a source of viruses, including the one that has caused a worldwide pandemic. But another question is surfacing: Could humans pass the novel coronavirus to wildlife, specifically North American bats?"
